"",,Harvested,Production,,,Value,,
Crop,Year,Acreage,Per Acre,Total,Unit,Per Unit,,Total
Alfalfa ‐Hay,2012,"101,000",8.42,"850,000",Ton,217.00,,"184,450,000"
"",2011,"81,400",8.35,"680,000",Ton,250.00,,"170,000,000"
"‐ Silagea",2012,X,3.96,"267,000",Ton,57.80,,"15,433,000"
"",2011,X,2.60,"141,000",Ton,46.00,,"6,486,000"
Barley ‐ Grain,2012,"5,050",2.00,"10,100",Ton,264.00,,"2,666,000"
"",2011,720,1.50,"1,080",Ton,239.00,,"258,000"
Beans ‐Dry,2012,"9,140",1.68,"15,400",Ton,1050.00,,"16,170,000"
"",2011,"3,330",1.56,"5,190",Ton,1000.00,,"5,190,000"
Corn ‐ Grain,2012,"12,800",6.00,"76,800",Ton,272.00,,"20,890,000"
"",2011,"7,110",6.25,"44,400",Ton,220.00,,"9,768,000"
"‐ Silage",2012,"160,000",29.00,"4,640,000",Ton,52.00,,"241,280,000"
"",2011,"156,000",26.50,"4,134,000",Ton,50.00,,"206,700,000"
Cotton ‐ Lint b,2012,"20,400","1,700.00","70,400",Bale,89.00,,"31,119,000"
"",2011,"29,600","1,430.00","85,500",Bale,113.00,,"47,830,000"
"‐ Seed",2012,X,X,"28,100",Ton,368.00,,"10,341,000"
"",2011,X,X,"34,100",Ton,350.00,,"11,935,000"
Pasture & Range,2012,"93,000",X,X,Acre,162.00,,"15,066,000"
"‐ Irrigated",2011,"93,000",X,X,Acre,175.00,,"16,275,000"
"‐ Native",2012,"615,000",X,X,Acre,18.00,,"11,070,000"
"",2011,"615,000",X,X,Acre,15.00,,"9,225,000"
"‐Other",2012,"76,300",X,X,Acre,25.00,,"1,908,000"
"",2011,"78,600",X,X,Acre,25.00,,"1,965,000"
Silage ‐ Small Grain c,2012,"168,000",17.00,"2,856,000",Ton,42.00,,"119,952,000"
"",2011,"175,000",14.80,"2,590,000",Ton,35.00,,"90,650,000"
Sudan Grass d,2012,"13,600",16.10,"219,000",Ton,34.20,,"7,490,000"
"",2011,"13,800",12.40,"171,000",Ton,30.00,,"5,130,000"
Wheat – Grain,2012,"44,800",3.85,"172,000",Ton,265.00,,"45,580,000"
"",2011,"30,900",2.85,"88,100",Ton,226.00,,"19,911,000"
Miscellaneous e,2012,"29,000",X,X,X,X,,"42,425,000"
"",2011,"21,900",X,X,X,X,,"14,575,000"
TOTAL,2012,"1,348,090",,,,,$,"765,840,000"
"",2011,"1,306,360",,,,,$,"615,898,000"
Almonds ‐Meats,2012,"33,800",1.03,"34,800",Ton,5170.00,"179,916,000"
"",2011,"31,800",1.09,"34,700",Ton,3700.00,"128,390,000"
"‐Hulls",2012,X,X,"71,000",Ton,105.00,"7,455,000"
"",2011,X,X,"63,400",Ton,135.00,"8,559,000"
Apricots,2012,708,4.97,"3,520",Ton,1730.00,"6,090,000"
"",2011,300,2.52,756,Ton,1470.00,"1,111,000"
Blueberries,2012,"1,340",3.51,"4,700",Ton,4320.00,"20,304,000"
"",2011,"1,133",7.00,"7,930",Ton,3600.00,"28,548,000"
Cherries,2012,"2,040",2.81,"5,730",Ton,5320.00,"30,484,000"
"",2011,"1,960",3.58,"7,020",Ton,4730.00,"33,205,000"
Grapes ‐ Total,2012,"54,360",X,X,X,X,"863,043,000"
"",2011,"59,200",X,X,X,X,"529,565,000"
Raisin Varieties,2012,"15,100",13.10,X,X,X,X
"",2011,"17,600",12.30,X,X,X,X
"‐ Canned",2012,X,X,"17,900",Ton,371.00,"6,641,000"
"",2011,X,X,"15,900",Ton,309.00,"4,913,000"
"‐ Crushed a",2012,X,X,"19,800",Ton,256.00,"5,069,000"
"",2011,X,X,"31,800",Ton,256.00,"8,141,000"
"‐Dried b",2012,X,X,"9,560",Ton,1900.00,"18,164,000"
"",2011,X,X,"11,300",Ton,1250.00,"14,125,000"
"‐ Fresh",2012,X,X,"76,700",Ton,1440.00,"110,448,000"
"",2011,X,X,"83,600",Ton,1430.00,"119,548,000"
Table Varieties,2012,"30,000",13.60,X,X,X,X
"",2011,"31,300",8.68,X,X,X,X
"‐ Crushed",2012,X,X,"41,900",Ton,270.00,"11,313,000"
"",2011,X,X,"61,000",Ton,224.00,"13,664,000"
"‐ Fresh",2012,X,X,"366,000",Ton,1800.00,"658,800,000"
"",2011,X,X,"216,000",Ton,1480.00,"319,680,000"
Wine Varieties Crushed c,2012,"9,260",14.80,"137,000",Ton,384.00,"52,608,000"
"",2011,"10,300",14.20,"146,000",Ton,339.00,"49,494,000"
Grapefruit ‐ Fresh d,2012,"1,730",13.90,"24,000",Ton,566.00,"13,584,000"
"",2011,"1,980",13.50,"26,700",Ton,630.00,"16,821,000"
Kiwifruit,2012,"1,870",3.36,"6,280",Ton,843.00,"5,294,000"
"",2011,"1,970",7.48,"14,700",Ton,1480.00,"21,756,000"
Lemons ‐ Fresh,2012,"3,960",12.80,"50,700",Ton,958.00,"48,571,000"
"",2011,"4,930",10.60,"52,300",Ton,802.00,"41,945,000"
