"",,Harvested,Production,,,Value,
Crop,Year,,,Total,Unit,,Total
"",,Acreage,Per Acre,,,Per Unit,
Alfalfa - Hay,2019,"40,000",8.94,"358,000",Ton,$207.00,"$74,106,000"
"",2018,"42,000",9.92,"417,000",Ton,$203.00,"$84,651,000"
"- Silagea",2019,X,12.80,"512,000",Ton,$61.90,"$31,693,000"
"",2018,X,13.40,"563,000",Ton,$88.70,"$49,938,000"
Barley - Grain,2019,"5,190",1.18,"6,120",Ton,$211.00,"$1,291,000"
"",2018,"5,890",1.89,"11,100",Ton,$259.00,"$2,875,000"
Beans - Dry,2019,"3,660",1.23,"4,500",Ton,"$1,060.00","$4,770,000"
"",2018,"4,780",1.43,"6,840",Ton,$944.00,"$6,457,000"
Corn - Grain,2019,"1,570",5.26,"8,260",Ton,$232.00,"$1,916,000"
"",2018,"1,570",5.45,"8,560",Ton,$184.00,"$1,575,000"
"- Silage",2019,"125,000",26.40,"3,300,000",Ton,$49.90,"$164,670,000"
"",2018,"122,000",25.50,"3,111,000",Ton,$52.40,"$163,016,000"
Cotton - Lintb,2019,"14,800","1,640.00","49,000",Bale,$104.00,"$25,498,000"
"",2018,"17,700","1,330.00","47,200",Bale,$85.00,"$20,177,000"
"- Seed",2019,X,X,"19,600",Ton,$307.00,"$6,017,000"
"",2018,X,X,"18,900",Ton,$252.00,"$4,763,000"
Hay - otherc,2019,"15,300",3.06,"46,800",Ton,$130.00,"$6,084,000"
"",2018,"17,400",3.59,"62,500",Ton,$147.00,"$9,188,000"
Pasture & Rangeland,2019,"111,000",X,X,Acre,$297.00,"$32,967,000"
"- Irrigated",2018,"99,700",X,X,Acre,$237.00,"$23,629,000"
"- Native",2019,"615,000",X,X,Acre,$37.60,"$23,124,000"
"",2018,"615,000",X,X,Acre,$20.00,"$12,300,000"
"- Other",2019,"54,400",X,X,Acre,$40.00,"$2,176,000"
"",2018,"55,600",X,X,Acre,$40.00,"$2,224,000"
Silage - Small Graind,2019,"156,000",14.90,"2,324,000",Ton,$41.50,"$96,446,000"
"",2018,"169,000",16.80,"2,839,000",Ton,$39.10,"$111,005,000"
Sudangrasse,2019,"11,000",4.16,"45,800",Ton,$124.00,"$5,679,000"
"",2018,"11,500",4.18,"48,100",Ton,$131.00,"$6,301,000"
Wheat – Grain,2019,"15,800",2.43,"38,400",Ton,$193.00,"$7,411,000"
"",2018,"18,400",2.95,"54,300",Ton,$215.00,"$11,674,000"
Miscellaneousf,2019,"21,400",X,X,X,X,"$12,323,000"
"",2018,23.900,X,X,X,X,"$12,592,000"
TOTAL,2019,"1,190,120",,,,,"$496,171,000"
"",2018,"1,204,440",,,,,"$522,365,000"
