Processed,,2011,X,X,"56,400",Ton,123.00,,"6,937,000"
"",,2010,X,X,"61,300",Ton,107.00,,"6,559,000"
Peaches - Cling,,2011,"1,230",18.20,"22,400",Ton,290.00,,"6,496,000"
"",,2010,"1,300",20.80,"27,000",Ton,285.00,,"7,695,000"
Peaches - Freestone,,2011,"12,400",9.44,"70,200",Ton,1230.00,,"86,346,000"
"",,2010,"13,400",9.16,"73,600",Ton,902.00,,"66,387,000"
Processed,,2011,X,X,"46,800",Ton,235.00,,"10,998,000"
"",,2010,X,X,"49,100",Ton,248.00,,"12,177,000"
Pears & Asian Pears,,2011,232,8.82,"2,050",Ton,1870.00,,"3,834,000"
"",,2010,255,8.87,"2,260",Ton,1460.00,,"3,300,000"
Pecans,,2011,585,0.54,316,Ton,5090.00,,"1,608,000"
"",,2010,610,1.70,"1,040",Ton,3760.00,,"3,910,000"
Persimmons,,2011,850,4.75,"4,040",Ton,1780.00,,"7,191,000"
"",,2010,836,7.69,"6,430",Ton,1120.00,,"7,202,000"
Pistachio Nuts,,2011,"29,600",1.10,"32,600",Ton,4440.00,,"144,744,000"
"",,2010,"21,200",1.41,"29,900",Ton,4720.00,,"141,128,000"
Plums & Pluots,,2011,"12,400",7.07,"87,700",Ton,990.00,,"86,823,000"
"",,2010,"12,600",5.71,"71,900",Ton,1060.00,,"76,241,000"
Pomegranates,,2011,"4,140",2.49,"10,300",Ton,1670.00,,"17,201,000"
"",,2010,"3,660",3.28,"12,000",Ton,1510.00,,"18,120,000"
"",d,,,,,,,,
Prunes - Dried Plums,,2011,"3,510",2.36,"8,300",Ton,1400.00,,"11,620,000"
"",,2010,"3,970",2.48,"9,850",Ton,1470.00,,"14,480,000"
Quince,,2011,150,4.50,675,Ton,1600.00,,"1,080,000"
"",,2010,142,5.20,738,Ton,2020.00,,"1,491,000"
e,,,,,,,,,
Tangerines,,2011,"14,700",6.59,"96,900",Ton,1380.00,,"133,722,000"
"",,2010,"13,000",8.52,"111,000",Ton,1040.00,,"115,440,000"
Walnuts,,2011,"31,500",1.65,"52,000",Ton,2700.00,,"140,400,000"
"",,2010,"31,000",2.23,"69,100",Ton,1390.00,,"96,049,000"
f,,,,,,,,,
Miscellaneous,,2011,638,X,X,X,X,,"10,048,000"
"",,2010,418,X,X,X,X,,"2,572,000"
TOTAL,,2011,"333,408",,,,,$,"2,201,584,000"
"",,2010,"319,462",,,,,$,"2,091,230,000"
